mathId,name,advisors,thesis,thesisUniversity,thesisCountry,thesisYear,numStudents,numDescendants
17001,Thomas  Cecil,Stanley Joel Osher,Numerical Methods for Partial Differential Equations Involving Discontinuites,University of California Los Angeles,UnitedStates,2003,0,0
17002,Suneal  Chaudhary,Russel Edward Caflisch,Acceleration of Monte Carlo Methods Using Low Discrepancy Sequences,University of California Los Angeles,UnitedStates,2004,0,0
17003,Yohann  Choi,,Computation of Ordinal-invariant Trajectory Solutions to Multi-person Bargaining Problems,University of California Los,UnitedStates,Angeles,0,0
17004,Owen M. Davey,Alexander S. Merkurjev,On the Existence of Algebraic Oriented Equivariant Cohomology Theories,University of California Los Angeles,UnitedStates,2004,0,0
17005,Brian  Forbes,Kefeng  Liu,Open String Mirror Maps from Picard-Fuchs Equations on Relative Cohomology,University of California Los,UnitedStates,Angeles,0,0
17006,Pierluigi  Crescenzi,Daniel Pierre Bovet,,Università di Roma La Sapienza,Italy,1991,5,15
17007,JosÃ© Esteban GalÃ©,JoaquÃ­n MarÃ­a Ortega Aramburu,Sobre espacios de funciones diferenciables en dimensión infinita aproximables por polinomios en conjuntos acotados,Universidad de Zaragoza,Spain,1980,3,11
17008,Joseph Andrew Konstan,,,,,Ph.D.,3,5
17009,Jin Au Kong,David  K. Cheng,Wave Propagation in Moving Anisotropic Media,Syracuse University,UnitedStates,1968,-1,-1
17010,Didier  Caucal,Laurent  Kott,Décidabilité de l'équivalence forte des schémas récursifs de programmes monadiques,Université Paris Diderot - Paris 7,France,1985,6,8
17011,Nabil Rashad Adam,,Capacity Planning in a Job-Shop Environment,Columbia University,UnitedStates,1975,9,11
17012,Rodney Dirk Gentry,,Bounds for Functions of Eigenvalues for Vibrating Strings,University of California Davis,UnitedStates,1972,-1,-1
17013,Charles E. Gates,Ralph E. Comstock,The Constitution of Genetic Variances and Covariances Assuming Linkage,North Carolina State University,UnitedStates,1955,2,2
17014,Victor  Twersky,,,,,Ph.D.,2,29
17015,Panayote Miltiades Pardalos,Judah Benjamin  Rosen,Integer and Separable Programming Techniques for Large Scale Global Optimization Problems,University of Minnesota-Minneapolis,UnitedStates,1985,58,113
17016,Ian  Holland,Karl K. Lieberherr,The Design and Representation of Object-Oriented Components,Northeastern University,UnitedStates,1992,0,0
17017,Paul  Bergstein,Karl K. Lieberherr,Managing the Evolution of Object-Oriented Systems,Northeastern University,UnitedStates,1994,0,0
17018,Ignacio  Silva-Lepe,Karl K. Lieberherr,Techniques for Reverse-Engineering and Re-engineering into the Object-Oriented Paradigm,Northeastern University,UnitedStates,1994,0,0
17019,Cun  Xiao,Karl K. Lieberherr,Adaptive Software: Automatic Navigation Through Partially Specified Data Structures,Northeastern University,UnitedStates,1994,0,0
17020,Walter  HÃ¼rsch,Karl K. Lieberherr,Maintaining Behavior and Consistency of Object-Oriented Systems during Evolution,Northeastern University,UnitedStates,1995,0,0
17021,Linda  Seiter,Karl K. Lieberherr,Design Patterns for Managing Evolution,Northeastern University,UnitedStates,1996,0,0
17022,Crista  Lopes,Karl K. Lieberherr,D: A Language Framework for Distributed Programming,Northeastern University,UnitedStates,1997,0,0
17023,Johan  Ovlinger,Karl K. Lieberherr,,Northeastern University,UnitedStates,2004,0,0
17024,Doug  Orleans,Karl K. Lieberherr,Programming Language Support for Separation of Concerns,Northeastern University,UnitedStates,2005,0,0
17025,Jim  Finn,Karl K. Lieberherr,,Princeton University,UnitedStates,1982,0,0
17026,Doug  Long,Karl K. Lieberherr,The Security of Bits in the Discrete Logarithm,Princeton University,UnitedStates,1983,0,0
17027,John T. Scranton,Karl K. Lieberherr,P-Optimal Approximation,Princeton University,UnitedStates,1982,0,0
17028,Peter  Philip,JÃ¼rgen  Sprekels,Transient Numerical Simulation of Sublimation Growth of SiC Bulk Single Crystals. Modeling Finite Volume Method Results,Humboldt-Universität zu Berlin,Germany,2003,0,0
17029,Antoine  Rousseau,Roger Meyer Temam,Etudes théoriques et numériques des équations primitives de l\'océan sans viscosité,Université Paris-Sud XI - Orsay,France,2005,0,0
17030,Adelaida Borisovna VasilÃ©va,Andrei Nikolaevich Tikhonov,,Lomonosov Moscow State University,Russia,1951,2,5
17031,Biao  Xing,Mark J. van der Laan,Statistical Methods for Detecting Structured Cis-regulatory Motifs and Constructing Transcriptional Regulatory Networks,University of California Berkeley,UnitedStates,2004,0,0
17032,Julien  MarchÃ©,Pierre  Vogel,Sur l'intégrale de Kontsevich des noeuds dans les variétés de dimension 3,Université Paris Diderot - Paris 7,France,2004,0,0
17033,Boris Ivanovich Morgunov,Vladimir Markovich Volosov,,Lomonosov Moscow State University,Russia,1964,0,0
17034,JÃ¼rgen  Giesl,Christoph  Walther,Automatisierung von Terminierungsbeweisen für rekursiv definierte Algorithmen,Technische Universität Darmstadt,Germany,1992,0,0
17035,Ibrahim A. I. Suleiman,Robert Arnott Wilson,Modular Representations of Some Finite Simple Groups,University of Birmingham,UnitedKingdom,1990,0,0
17036,Haiyan  Huang,Larry Mark Goldstein,Bounds for the Errors in Word Count Distributional Approximations,University of Southern California,UnitedStates,2001,0,0
17037,Enric  Fossas i Colet,Carlos  CurrÃ¡s Bosch,Camps de Killing en varietats semiriemannianes,Universidad de Barcelona,Spain,1986,8,9
17038,Robert Lee Bowden Jr.,,Time-Dependent Solution of the Neutron Transport Equation in a Finite Slab,Virginia Polytechnic Institute and State University,UnitedStates,1963,-1,-1
17039,PÃ©ter Tibor Nagy,Anatoly Mikhailovich Vasil'ev,Geodesics on fibered spaces,Lomonosov Moscow State University,Russia,1978,3,3
17040,Jaume  Franch,Enric  Fossas i Colet,Flatness Tangent Systems and Flat Outputs,Universitat Politècnica de Catalunya,Spain,1999,0,0
17041,David  Dietz,William  Greenberg,Conditional Entropy for Statistical Systems with Long-Range Interactions,Indiana University,UnitedStates,1975,0,0
17042,John Frederick Cavalier,William  Greenberg,Model Kinetic Equations for a Binary Gas,Virginia Polytechnic Institute and State University,UnitedStates,1983,0,0
17043,Wlodzimierz Ignacy Walus,William  Greenberg,Stationary Solutions of Abstract Kinetic Equations,Virginia Polytechnic Institute and State University,UnitedStates,1985,0,0
17044,Borislava  Gutars,,The Inverse Boundary Value Problem in Anisotropic Media,University of California Los,UnitedStates,Angeles,0,0
17045,Chiu-Yen  Kao,Stanley Joel Osher,Fast Sweeping Methods for Static Hamilton-Jacobi Equation,University of California Los Angeles,UnitedStates,2004,-1,-1
17046,Arthur Y. Lee,William Isaac Newman,Symplectic Integration of Nonlinear Hamiltonian Systems,University of California Los Angeles,UnitedStates,2004,0,0
17047,Chohong  Min,Stanley Joel Osher,A Computational Framework Tracking a Moving Interface in Arbitrary Dimension and Codimension,University of California Los Angeles,UnitedStates,2004,0,0
17048,Mark Christopher Moelich,Tony Fan-Cheong Chan,Logic Models in Segmentation and Tracking,University of California Los Angeles,UnitedStates,2004,0,0
17049,Christina  Soderlund,Robert Freeman Brown,Characterizing Fixed Point Sets of Maps Homotopic to a Given Map,University of California Los Angeles,UnitedStates,2004,0,0
17050,Chong Hui  Tan,,Equivariant K-theories Equivariant Cycle Theories and Equivariant Motivic Homototpy Theory,University of California Los,UnitedStates,Angeles,0,0
17051,Wei  Zhu,Tony Fan-Cheong Chan,Variational Models for Illusory Contours and Shape Prior Segmentation.,University of California Los Angeles,UnitedStates,2004,0,0
17052,Shin-Sheg  Yuan,,Some Contributions in Computational Biology,University of California Los,UnitedStates,Angeles,0,0
17053,Suzanne  Lindborg,,Representations of Affie Lie Algebras of Level Zero,University of California,UnitedStates,Riverside,0,0
17054,Chanwoo  Pae,,Groebner Bases of Veronese Embeddings and N-P Problems,University of California,UnitedStates,Riverside,0,0
17055,L. Gary (Leslie) Leal,Andreas  Acrivos,A Study of Steady Closed Streamline Flow at Large Reynolds Number,Stanford University,UnitedStates,1969,3,19
17056,John Michael Ennis,Guofang  Wei,On the Universal Cover of the Gromov-Hausdorff Limit of Manifolds with Ricci Curvature Bounded Below,University of California Santa Barbara,UnitedStates,2004,0,0
17057,Zhen  He,Mihai  Putinar,Interpolation by Bounded Analytic Functions in Domains of $C^n$,University of California Santa Barbara,UnitedStates,2003,0,0
17058,Heath  Proskin,Darren David Long,Flat Faces in Punctured Torus Groups,University of California Santa Barbara,UnitedStates,2005,0,0
17059,Jorge L. Hernandez,Svetlozar Todorov Rachev,A General Framework for Term Structure and Credit Risk Models Driven by Levy Processes,University of California Santa Barbara,UnitedStates,2003,0,0
17060,Anna  Liu,Yuedong  Wang,Hypothesis Testing in Smoothing Spline Models and Modeling of Hormone Generating Mechanisms,University of California Santa Barbara,UnitedStates,2004,-1,-1
17061,Jeffrey  Sklar,,Some Contributions to Spatially Adaptive Non-parametric Regression,University of California Santa Barbara,UnitedStates,2003,0,0
17062,Dongjin  Kim,WÅodek  Proskurowski;Firdaus E. Udwadia,Efficient Methods for Nonlinear Parabolic PDEs,University of Southern,UnitedStates,California,0,0
17063,Wei-Cheng  Mao,,Quadratic Variation Estimators for Diffusion Models in Finance,University of Southern,UnitedStates,California,0,0
17064,Yongjun  Yang,,A New Discontinuous Finite Element Method Based on a Least-Squares Stabilization for Elliptic and Convection-diffusion Problems,Colorado School of,UnitedStates,Mines,0,0
17065,Margaret Elizabeth Andrews,Richard Alan Davis,Parameter Estimation for All-pass Time Series Models,Colorado State University,UnitedStates,2003,-1,-1
17066,Devin S. Johnson,Jennifer A. Hoeting,Random Effects Graphical Models For Discrete Compositional Data,Colorado State University,UnitedStates,2003,0,0
17067,Sean  Mahabir,,Evaluation of the Method R Procedure for One Way Random Effects Models,Colorado State,UnitedStates,University,0,0
17068,Gabriel  Rodriquez-Yam,,Estimation for State-space Models and Bayesian Regression Analysis with Parameter Constraints,Colorado State,UnitedStates,University,0,0
17069,Yi-Chao  Chen,Jerald L. Ericksen,Some Stability Problems for Elastic Materials,University of Minnesota-Minneapolis,UnitedStates,1985,2,2
17070,Pierre  Vallois,,,,,Ph.D.,2,5
17072,Byoung-du  Kim,Karl Cooper Rubin,The Parity Conjecture and Algebraic Functional Equations for Elliptic Curves at Primes with Supersingular Reduction,Stanford University,UnitedStates,2005,0,0
17073,Leon  Fairbanks,Ron Yehuda Donagi,Lax representation for Kovalevski's top,Northeastern University,UnitedStates,1988,0,0
17074,Richard  McNamara,Anne Margaret Dougherty,Applications of Spanning Trees to Continuous-time Markov Processes with Emphasis on Loss Systems,University of Colorado Boulder,UnitedStates,2005,0,0
17075,Madeeha  Khalid,Ron Yehuda Donagi,On the moduli of Hodge-isogenous pairs of K3s,University of Pennsylvania,UnitedStates,2003,0,0
17076,Ignacio  de Gregorio,David Michael Quentin Mond,F-manifolds and Deformations of Functions,University of Warwick,UnitedKingdom,2004,0,0
17077,Aixiang  Yao,William  Greenberg,Kinetic Theory and Global Existence in L1 for a Dense Square-Well Fluid,Virginia Polytechnic Institute and State University,UnitedStates,1995,0,0
17078,Degong  Song,William  Greenberg,On the Spectrum of Neutron Transport Equations with Reflecting Boundary Conditions,Virginia Polytechnic Institute and State University,UnitedStates,1999,0,0
17079,Jacek  Polewczak,William  Greenberg,Semilinear Evolution Equations in Weak Topologies of Banach Spaces and an Application to the BGK Equation,Virginia Polytechnic Institute and State University,UnitedStates,1981,0,0
17080,Jun  Chen,William  Greenberg;Robert Lee Bowden Jr.,Discrete Dynamical Systems in Solving H-Equations,Virginia Polytechnic Institute and State University,UnitedStates,1995,0,0
17081,Peng  Lei,William  Greenberg,The Cauchy Problem for the Diffusive Vlasov Enskog Equations,Virginia Polytechnic Institute and State University,UnitedStates,1993,0,0
